ΣΥΓΓΡΑΦΕΑΣ/ΔΗΜΙΟΥΡΓΟΣ  (ΥΠΟΓΡΑΦΗ);ΣΥΓΓΡΑΦΕΑΣ/ΔΗΜΙΟΥΡΓΟΣ (ΚΑΘΙΕΡΩΜΕΝΟ ΟΝΟΜΑ) ID1;ΣΥΓΓΡΑΦΕΑΣ/ΔΗΜΙΟΥΡΓΟΣ 2 (ΥΠΟΓΡΑΦΗ);ΣΥΓΓΡΑΦΕΑΣ/ΔΗΜΙΟΥΡΓΟΣ (ΚΑΘΙΕΡΩΜΕΝΟ ΟΝΟΜΑ) ID2;ΜΕΤΑΦΡΑΣΤΗΣ;ΜΕΤΑΦΡΑΣΤΗΣ (ΚΑΘΙΕΡΩΜΕΝΟ ΟΝΟΜΑ) ID1;ΜΕΤΑΦΡΑΣΤΗΣ 2;ΜΕΤΑΦΡΑΣΤΗΣ  (ΚΑΘΙΕΡΩΜΕΝΟ ΟΝΟΜΑ) ID2;ΤΙΤΛΟΣ ΑΡΘΡΟΥ;ΣΥΝΟΠΤΙΚΟΣ ΤΙΤΛΟΣ ΠΕΡΙΟΔΙΚΟΥ2;journal ID;ΕΤΟΣ ;ΜΗΝΑΣ ;ΤΟΜΟΣ/ΤΕΥΧΟΣ/ΣΕΛΙΔΕΣ;Μετάφρασμα;Είδος;Στήλη;;;;;;;;;;;;
Α. Γ.;Γιαννόπουλος Αλκιβιάδης;;;;;;;[άτιτλο];Σημερινά Γράμματα;ΣΗΓΡ;1954;5;τχ. 1, σ. 1;ΟΧΙ;επικαιρικό σημείωμα;;;;;;;;;;;;;
Γιάννης Δημητράκης;Δημητράκης Γιάννης;;;;;;;[εικόνα χωρίς τίτλο];Οκτασέλιδο του Μπιλιέτου;ΟΚΜΠ;2006;5-6;τχ. 52 (Μάιος-Ιούνιος 2006), σ. 4;ΟΧΙ;εικόνα;;;;;;;;;;;;;
Μανόλης Δραγώγιας;Δραγώγιας Μανόλης;;;;;;;Ο χορός των πνευμάτων;Σερραϊκά Γράμματα;ΣΕΡΓ;1962;χ.μ.;τχ. 51-52 (Χρόνος Ζ΄), σ. 222-223;ΟΧΙ;χρονογράφημα;;;;;;;;;;;;;
Νίκος Ζαχόπουλος;Ζαχόπουλος Νίκος;;;;;;;Η κίνηση της ΦΕΛ;Ξεκίνημα;ΞΚΝΜ;1944;7-9;τχ. 9-10 (30 Ιούλη-30 Σεπτέμβρη 1944), σ. 195-196;ΟΧΙ;επικαιρικό σημείωμα;Μέσα στο δεκαπενθήμερο;;;;;;;;;;;;
Δ. Ηλιακόπουλος;Ηλιακόπουλος Διονύσιος;;;;;;;Εις την άπιστη;Κυψέλη;ΚΥΨΕ;1884;1;έτος Α΄, φ. Α΄ σ. 20;ΟΧΙ;ποίημα;;;;;;;;;;;;;
Αλ. Ηλ. Κατσαντώνης;Κατσαντώνης Αλέξανδρος;;;;;;;Ελευθερία και νομικό καθήκον (β');Εποχές;ΕΠΟΧ;1965;12;τχ. 32 (Δεκέμβριος 1965), σ. 44-51;ΟΧΙ;μελέτη/δοκίμιο;;;;;;;;;;;;;
Α. Σγουρός;Κοββατζής Αστέρης;;;;;;;"Ι. Μ. Παναγιωτόπουλου, ""Χειρόγραφα της μοναξιάς""";Φιλολογικά χρονικά;ΦΙΧΡ;1944;3;τχ. 1 (1 Μαρτίου 1944), σ. 61-66;ΟΧΙ;κριτική;Βιβλία και συγγραφείς;;;;;;;;;;;;
***;Μαρτζώκης Λαμπρινός*;;;;;;;Αίνιγμα θ' ;Ζακύνθιος Ανθών;ΖΑΝΘ;1875;8;φυλλάδιον ΙΒ΄ (Αύγουστος 1875), σ. 392;ΟΧΙ;αίνιγμα/παροιμία/λεκτικό παίγνιο;;;;;;;;;;;;;
Τ. Παπατζώνης;Παπατσώνης Τάκης;;;;;;;Θρησκευτικές εντυπώσεις [υπό Δ. Λαυράγκα];Δημοκρατία [εφημ.];ΔΗΜΟ;1923;12;3-4 (30 Δεκεμβρίου 1923);ΟΧΙ;κριτική;;;;;;;;;;;;;
Νίκος Παππάς;Παππάς Νίκος;;;;;;;Συστημένη προς τον Louis Aragon και τον Γιάννη Ρίτσο;Η Εφημερίδα των Ποιητών;ΕΦΠΤ;1957;3;τχ. 9 (Μάρτιος 1957), σ. 5;ΟΧΙ;επικαιρικό σημείωμα;;;;;;;;;;;;;
Ιωάννης Πεσματζόγλου;Πεσματζόγλου Ιωάννης;;;;;;;Ακαδημαϊκή Ελευθερία;Η Συνέχεια;ΣΥΝΧ;1973;3;τχ. 1, σ. 3;ΟΧΙ;επικαιρικό σημείωμα;;;;;;;;;;;;;
Τάσος Πορφύρης;Πορφύρης Τάσος;;;;;;;Συνέχεια σε μια συζήτηση;Σημειώσεις [Α' περίοδος:1973-1981];ΣΗΜΣ;1975;1;τχ. 4 (Ιανουάριος 1975), σ. 75-78;ΟΧΙ;συζήτηση/διάλογος/έρευνα;Σημειώσεις;;;;;;;;;;;;
Γιώργος Σεφέρης;Σεφέρης Γιώργος;;;;;;;Σελίδες ημερολογίου;Η Συνέχεια;ΣΥΝΧ;1973;3;τχ. 1, σ. 6-7;ΟΧΙ;ημερολόγιο | ποίημα;;;;;;;;;;;;;
Διονύσιος Σολωμός;Σολωμός Διονύσιος;;;Θ. Φ. Στεφανίδης;Στεφανίδης Θεόδωρος;Γ. Κ. Κατσίμπαλης;Κατσίμπαλης Γιώργος Κ. ;Ύμνος εις την ελευθερίαν;Αγγλοελληνική επιθεώρηση;ΑΓΓΛ;1945;3;Περίοδος Α΄, τχ. 1 (Μάρτιος 1945), σ. 6-7.;ΝΑΙ;ποίημα;;;;;;;;;;;;;
Φοίβος Σταυρίδης;Σταυρίδης Φοίβος;;;;;;;[άτιτλο];Ο Κύκλος της Λάρνακας;ΚΥΛΡ;1986;1;-;ΟΧΙ;*άλλο;;;;;;;;;;;;;
Κάρολος Τσίζεκ;Τσίζεκ Κάρολος;;;;;;;"Στίχοι έρωτα και αγάπης: Μηροί - Η κουτσουπιά - Νύχτα με φεγγάρι – Δόντια – Παλινδρόμηση - Η τσούσκα – Αναπόληση – Η αλφαβήτα του
έρωτα";Μπιλιέτο;ΜΠΙΛ;2001;7-12;τχ. 1 (Ιούλιος-Δεκέμβριος), σ. 13-15;ΟΧΙ;ποίημα;;;;;;;;;;;;;
Γιώργος Χουλιάρας;Χουλιάρας Γιώργος;;;;;;;Τέσσερα ποιήματα;Τραμ: ένα όχημα [Α' διαδρομή];ΤΡΑΜ;1971;10;τχ. 1 (Οκτώβριος 1971), σ. 22-23;ΟΧΙ;ποίημα;;;;;;;;;;;;;
ΑΙΜ. Χ.;Χουρμούζιος Αιμίλιος;;;;;;;Η Κριτική του Θεάτρου;Τα Νέα Ελληνικά;ΝΕΛΛ;1952;5;τχ. 5 (Μάιος 1952), 389-390.;ΟΧΙ;κριτική;Η Κριτική του Θεάτρου;;;;;;;;;;;;
χ.σ.;χωρίς ταύτιση;;;;;;;[άτιτλο];Δελτίον των Ολυμπίων;ΔΟΛΥ;1895;11;τχ. 1 (11 Νοεμβρίου 1895), σ. 1-4;ΟΧΙ;σημείωμα σύνταξης;;;;;;;;;;;;;
χ.σ.;χωρίς ταύτιση;;;;;;;Πολιτική;Ολύμπια;ΟΛΥΜ;1895;11;τχ. 1 (11 Νοεμβρίου 1895), σ. 2;ΟΧΙ;επικαιρικό σημείωμα;;;;;;;;;;;;;
χ.σ.;χωρίς ταύτιση;;;;;;;Η περί καθολικής ειρήνης Σύνοδος (συνέχεια).Κίνα-Αμερική-Ινδία-[Ρωσία]-[Βέλγιο]-[Ιταλία]-[Αμερική]-Σερβία-Σάμος-[Τουρκία].;Το Μέλλον [εφημ.];ΜΕΛΛ;1849;9;Έτος Α΄. Φύλλο 38: 17 Σεπτεμβρίου 1849, Σάββατον;ΟΧΙ;είδηση;Εξωτερικαί ειδήσεις;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
